,scientific_name,common_name,genus,percentage,count
0,Platanus x hispanica,Sycamore: London Plane,Platanus,7.09359340481707,2633
1,Metrosideros excelsa,New Zealand Xmas Tree,Metrosideros,5.218492375666792,1937
2,Lophostemon confertus,Brisbane Box,Lophostemon,4.652729134112829,1727
3,Pittosporum undulatum,Victorian Box,Pittosporum,4.496470715016973,1669
4,Tristaniopsis laurina,Swamp Myrtle,Tristaniopsis,4.248612533002856,1577
5,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',Ficus,3.8391077105447495,1425
6,Magnolia grandiflora,Southern Magnolia,Magnolia,3.7097903981895572,1377
7,Prunus cerasifera,Cherry Plum,Prunus,3.518508540330837,1306
8,Arbutus 'Marina',Hybrid Strawberry Tree,Arbutus,2.8638396465326794,1063
9,Prunus serrulata 'Kwanzan',Kwanzan Flowering Cherry,Prunus,2.2657470768899186,841
10,Acacia melanoxylon,Blackwood Acacia,Acacia,2.209170752734522,820
11,Olea europaea,Olive Tree,Olea,2.125653321838461,789
12,Corymbia ficifolia,Red Flowering Gum,Corymbia,2.1067945471199954,782
13,Maytenus boaria,Mayten,Maytenus,2.063688776334932,766
14,Callistemon citrinus,Lemon Bottlebrush,Callistemon,1.845465811735546,685
15,Ginkgo biloba,Maidenhair Tree,Ginkgo,1.7835012662320169,662
16,Pyrus calleryana,Ornamental Pear,Pyrus,1.6245487364620936,603
17,Ulmus parvifolia,Chinese Elm,Ulmus,1.5033137561291017,558
18,Ligustrum lucidum,Glossy Privet,Ligustrum,1.295867234225982,481
19,Eriobotrya deflexa,Bronze Loquat,Eriobotrya,1.2554555741149847,466
20,Pinus radiata,Monterey Pine,Pinus,1.147691147152325,426
21,Pyrus kawakamii,Evergreen Pear,Pyrus,1.0345384988415325,384
22,Cordyline australis,Dracena Palm,Cordyline,1.004903281426801,373
23,Prunus serrulata,Ornamental Cherry,Prunus,0.9968209494046014,370
24,Pittosporum crassifolium,Karo Tree,Pittosporum,0.9698798426639366,360
25,Tristania conferta,,Tristania,0.9402446252492052,349
26,Juniperus chinensis,Juniper,Juniperus,0.9267740718788728,344
27,Cupressus macrocarpa,Monterey Cypress,Cupressus,0.9267740718788728,344
28,Liquidambar styraciflua,American Sweet Gum,Liquidambar,0.8863624117678754,329
29,Tristaniopsis laurina 'Elegant',Small-leaf Tristania 'Elegant',Tristaniopsis,0.8809741904197425,327
30,Myoporum laetum,Myoporum,Myoporum,0.851338973005011,316
31,Ficus retusa nitida,Banyan Fig,Ficus,0.8378684196346785,311
